id,user_id,date,flight_number,from,to,departure_time,arrival_time,duration,airline,aircraft,registration,seat_number,seat_type,flight_class,flight_reason,note
47679251-3e2e-4537-99bb-8f7261ec43b1,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-05-25,TU6095,ae576c29-3f92-464d-a24e-8be699b4a1d9,df9c54b4-1251-4420-8de6-999644458770,14:10:00,15:35:00,02:25:00,2fb73b7a-2e5b-481c-b984-1a2f748fb575,ef344faf-d74e-40fd-8a5b-56256b9c8834,TI-IOH,10C,Aisle,Economy,Business,Sunfun Study
39ed6667-4eae-47d0-bd14-eb83a6112cfc,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-06-01,TU6094,de2d3777-f07a-4455-bb0e-98c5a87a6447,ae576c29-3f92-464d-a24e-8be699b4a1d9,14:00:00,17:15:00,02:15:00,2fb73b7a-2e5b-481c-b984-1a2f748fb575,91bbc220-843d-4956-98c8-2695400592b4,TI-IMJ,19C,Aisle,Economy,Business,Sunfun Study
6400f126-7a35-490f-b3a8-27c5bd042904,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-09-10,QS2376,ae576c29-3f92-464d-a24e-8be699b4a1d9,3893d2d6-4baa-4a12-b3c8-b9ed93ad2eee,05:10:00,08:15:00,02:05:00,f1e98621-1670-4ff0-b277-893e074d437d,c0c623c4-f23d-4969-b4db-5f5641bb0676,HA-LKB,6E,Middle,Economy,Leisure,
aae72e5d-1ce2-443c-943a-7537fd669df2,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-09-17,QS2377,3893d2d6-4baa-4a12-b3c8-b9ed93ad2eee,ae576c29-3f92-464d-a24e-8be699b4a1d9,09:05:00,10:00:00,01:55:00,f1e98621-1670-4ff0-b277-893e074d437d,c0c623c4-f23d-4969-b4db-5f5641bb0676,HA-LKB,25F,Window,Economy,Leisure,
ad5184bf-0fbb-409c-8b5b-f6c6ba44403d,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-10-26,QR948,ae576c29-3f92-464d-a24e-8be699b4a1d9,375cf365-a285-4bce-bf69-8a2ad7a2793d,17:05:00,23:20:00,05:15:00,1b336f3f-f11a-4233-9dc8-e75853ca0962,cbb306bf-35ca-4dba-ab30-be29d4fd671b,A7-AHL,11F,Window,Economy,Leisure,
06c1d1f2-0a31-47c5-af78-f9d20ac377db,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-10-27,QR802,375cf365-a285-4bce-bf69-8a2ad7a2793d,107437c2-2b62-40c4-bf4a-3fa6cd14e643,01:25:00,19:50:00,12:25:00,1b336f3f-f11a-4233-9dc8-e75853ca0962,4af7ed2e-f686-41ec-b0b6-ca7a14a465a8,A7-BAA,12H,Aisle,Economy,Leisure,
ecde3d03-3159-4313-847d-8cd4b3e308b3,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-11-02,QR805,107437c2-2b62-40c4-bf4a-3fa6cd14e643,375cf365-a285-4bce-bf69-8a2ad7a2793d,22:30:00,04:30:00,12:00:00,1b336f3f-f11a-4233-9dc8-e75853ca0962,c602d237-21db-4bae-ac86-538079a13cda,A7-BBC,12H,Aisle,Economy,Leisure,
77883582-fde7-4350-88c4-2ae682e4adc9,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2012-11-03,QR947,375cf365-a285-4bce-bf69-8a2ad7a2793d,ae576c29-3f92-464d-a24e-8be699b4a1d9,07:40:00,11:35:00,05:55:00,1b336f3f-f11a-4233-9dc8-e75853ca0962,cbb306bf-35ca-4dba-ab30-be29d4fd671b,A7-AHO,9D,Aisle,Economy,Leisure,
d1d67d53-5277-4b00-9681-f9f63658c4b1,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2013-12-14,LO534,ae576c29-3f92-464d-a24e-8be699b4a1d9,bdaa5dfb-40e9-4986-bb40-97ce247fb766,09:10:00,10:20:00,01:10:00,bd9b71df-057e-4b1f-8f3c-d082199d8529,8243a1d5-5f12-446d-80ab-816bb8db9ee7,SP-LDA,11C,Aisle,Economy,Business,LOT Study
a5d087e4-b438-4a0c-9b39-09f0a73f463a,b252a9a4-08ac-4aef-a9bc-37e6d00bd161,2013-12-16,LO531,bdaa5dfb-40e9-4986-bb40-97ce247fb766,ae576c29-3f92-464d-a24e-8be699b4a1d9,18:05:00,19:20:00,01:15:00,bd9b71df-057e-4b1f-8f3c-d082199d8529,8243a1d5-5f12-446d-80ab-816bb8db9ee7,SP-LDB,9C,Aisle,Economy,Business,LOT Study
